Data,Obra,Etapa,Fornecedor,Tipo,Descrição,Valor,Orçado,Status
21/03/2026,Condomínio Reserva Verde,Estrutura,Cesan,Indireto,Água do canteiro,"3500,00","3510,00",Pago
23/03/2026,Residencial Vista Mar,Instalações,Administração local,Indireto,Administração local do canteiro,"6680,00","6890,00",Pago
24/03/2026,Residencial Vista Mar,Alvenaria,Empreita Souza & Filhos,Mão de obra,Equipe de pedreiros,"28980,00","26580,00",Pago
26/03/2026,Residencial Vista Mar,Instalações,Hidro Elétrica Norte,Material,Registro e conexões,"43860,00","33160,00",Pago
26/03/2026,Edifício Solar de Camburi,Instalações,Hidro Elétrica Norte,Material,"Cabo flexível 2,5mm","18090,00","13920,00",Pago
27/03/2026,Residencial Vista Mar,Instalações,Hidráulica Norte,Subempreiteiro,Empreitada hidrossanitária,"45370,00","29480,00",Pago
27/03/2026,Residencial Vista Mar,Instalações,Hidro Elétrica Norte,Material,Tubulação PVC esgoto,"40360,00","28820,00",Pago
27/03/2026,Edifício Solar de Camburi,Alvenaria,Depósito Praia Grande,Material,Cal hidratada e areia,"28760,00","24430,00",Pago
28/03/2026,Edifício Solar de Camburi,Instalações,Equipe própria,Mão de obra,Ajudantes de instalação,"23150,00","18050,00",Pago
30/03/2026,Galpão Logístico Serra,Alvenaria,Depósito Praia Grande,Material,Argamassa de assentamento,"34800,00","35380,00",Pago
30/03/2026,Condomínio Reserva Verde,Fundação,Aços Capixaba,Material,Aço para armação de sapatas,"37110,00","35810,00",Pago
01/04/2026,Galpão Logístico Serra,Cobertura,Depósito Praia Grande,Material,Calha e rufo galvanizado,"25530,00","25230,00",Pago
04/04/2026,Condomínio Reserva Verde,Alvenaria,JR Mão de Obra,Mão de obra,Equipe de chapisco e reboco,"32930,00","31150,00",Pago
05/04/2026,Galpão Logístico Serra,Cobertura,Madeireira Santa Rita,Material,Madeiramento do telhado,"23340,00","27160,00",Pago
06/04/2026,Galpão Logístico Serra,Cobertura,Cesan,Indireto,Água do canteiro,"4810,00","5170,00",Pago
08/04/2026,Galpão Logístico Serra,Cobertura,Administração local,Indireto,Administração local do canteiro,"6000,00","6230,00",Pago
08/04/2026,Condomínio Reserva Verde,Estrutura,Equipe própria,Mão de obra,Equipe de armadores,"26670,00","29560,00",Pago
09/04/2026,Residencial Vista Mar,Instalações,Elétrica Camburi,Subempreiteiro,Empreitada elétrica,"17660,00","14990,00",Pago
09/04/2026,Galpão Logístico Serra,Instalações,Hidro Elétrica Norte,Material,"Cabo flexível 2,5mm","8440,00","10380,00",Pago
10/04/2026,Residencial Vista Mar,Instalações,Hidráulica Norte,Subempreiteiro,Empreitada hidrossanitária,"22100,00","18990,00",Pago
11/04/2026,Galpão Logístico Serra,Instalações,Depósito Praia Grande,Material,Eletroduto e caixas,"16370,00","15780,00",Pago
12/04/2026,Galpão Logístico Serra,Instalações,JR Mão de Obra,Mão de obra,Equipe de encanadores,"19850,00","20690,00",Pago
13/04/2026,Residencial Vista Mar,Instalações,JR Mão de Obra,Mão de obra,Equipe de eletricistas,"26230,00","22210,00",Pago
13/04/2026,Residencial Vista Mar,Instalações,Vigilância Litoral,Indireto,Vigilância noturna,"6280,00","5950,00",Pago
13/04/2026,Condomínio Reserva Verde,Alvenaria,Depósito Praia Grande,Material,Cimento CP-II,"39730,00","37880,00",Pago
13/04/2026,Condomínio Reserva Verde,Alvenaria,Equipe própria,Mão de obra,Ajudantes de obra,"21470,00","22580,00",Pago
14/04/2026,Edifício Solar de Camburi,Instalações,Hidro Elétrica Norte,Material,"Cabo flexível 2,5mm","29960,00","32890,00",Pago
14/04/2026,Edifício Solar de Camburi,Instalações,Vigilância Litoral,Indireto,Vigilância noturna,"4230,00","4730,00",Pago
15/04/2026,Edifício Solar de Camburi,Instalações,Depósito Praia Grande,Material,Eletroduto e caixas,"19400,00","19590,00",Pago
15/04/2026,Galpão Logístico Serra,Instalações,Hidráulica Norte,Subempreiteiro,Empreitada hidrossanitária,"19720,00","17790,00",Pago
15/04/2026,Condomínio Reserva Verde,Estrutura,Concreteira Baía Sul,Material,Concreto usinado 30MPa,"18120,00","19640,00",Pago
16/04/2026,Galpão Logístico Serra,Instalações,Hidráulica Norte,Subempreiteiro,Empreitada hidrossanitária,"31940,00","38540,00",Pago
17/04/2026,Residencial Vista Mar,Instalações,Administração local,Indireto,Administração local do canteiro,"6990,00","6040,00",Pago
17/04/2026,Condomínio Reserva Verde,Estrutura,Aços Capixaba,Material,Aço CA-50 vergalhão,"45780,00","42800,00",Pago
19/04/2026,Condomínio Reserva Verde,Alvenaria,Depósito Praia Grande,Material,Cal hidratada e areia,"25600,00","24380,00",Pago
20/04/2026,Condomínio Reserva Verde,Estrutura,Estruturas Camburi,Subempreiteiro,Serviço de concretagem de laje,"20160,00","24410,00",Pago
22/04/2026,Edifício Solar de Camburi,Instalações,Elétrica Camburi,Subempreiteiro,Instalação de ar-condicionado,"21690,00","23740,00",Pago
23/04/2026,Edifício Solar de Camburi,Instalações,JR Mão de Obra,Mão de obra,Equipe de eletricistas,"27420,00","21510,00",Pago
23/04/2026,Edifício Solar de Camburi,Cobertura,Estruturas Camburi,Subempreiteiro,Empreitada de cobertura,"14610,00","16220,00",Pago
24/04/2026,Residencial Vista Mar,Instalações,Depósito Praia Grande,Material,Eletroduto e caixas,"47750,00","32490,00",Pago
25/04/2026,Residencial Vista Mar,Instalações,Locadora Serra Máquinas,Equipamento,Locação de compressor,"19970,00","14540,00",Pago
25/04/2026,Condomínio Reserva Verde,Estrutura,Empreita Souza & Filhos,Mão de obra,Equipe de carpintaria,"22670,00","22080,00",Pago
25/04/2026,Condomínio Reserva Verde,Alvenaria,Administração local,Indireto,Administração local do canteiro,"4940,00","5420,00",Pago
26/04/2026,Edifício Solar de Camburi,Instalações,Depósito Praia Grande,Material,Eletroduto e caixas,"15550,00","15950,00",Pago
29/04/2026,Condomínio Reserva Verde,Alvenaria,EDP Espírito Santo,Indireto,Energia do canteiro,"5610,00","5320,00",Pago
30/04/2026,Edifício Solar de Camburi,Instalações,Administração local,Indireto,Administração local do canteiro,"5390,00","5590,00",Pago
30/04/2026,Galpão Logístico Serra,Cobertura,Depósito Praia Grande,Material,Calha e rufo galvanizado,"17430,00","18390,00",Pago
01/05/2026,Edifício Solar de Camburi,Cobertura,Cesan,Indireto,Água do canteiro,"5830,00","6250,00",Pago
02/05/2026,Galpão Logístico Serra,Acabamento,Mármores Jucu,Material,Rodapé e soleira,"32920,00","32990,00",Pago
04/05/2026,Galpão Logístico Serra,Acabamento,Equipe própria,Mão de obra,Equipe de acabamento fino,"27210,00","24600,00",Pago
05/05/2026,Residencial Vista Mar,Cobertura,Madeireira Santa Rita,Material,Madeiramento do telhado,"20770,00","15920,00",Pago
06/05/2026,Condomínio Reserva Verde,Instalações,JR Mão de Obra,Mão de obra,Equipe de eletricistas,"40320,00","36070,00",Pago
07/05/2026,Galpão Logístico Serra,Acabamento,Equipe própria,Mão de obra,Equipe de acabamento fino,"17740,00","19410,00",Pago
07/05/2026,Galpão Logístico Serra,Acabamento,Mármores Jucu,Material,Bancada de granito,"32000,00","31710,00",Pago
07/05/2026,Condomínio Reserva Verde,Alvenaria,Depósito Praia Grande,Material,Argamassa de assentamento,"32410,00","33090,00",Pago
08/05/2026,Residencial Vista Mar,Cobertura,Cesan,Indireto,Água do canteiro,"6580,00","6650,00",Pago
08/05/2026,Galpão Logístico Serra,Cobertura,Cesan,Indireto,Água do canteiro,"6540,00","6370,00",Pago
09/05/2026,Residencial Vista Mar,Cobertura,Madeireira Santa Rita,Material,Madeiramento do telhado,"53980,00","42930,00",Pago
10/05/2026,Residencial Vista Mar,Instalações,Hidro Elétrica Norte,Material,Tubulação PVC esgoto,"50770,00","33810,00",Pago
11/05/2026,Residencial Vista Mar,Cobertura,Empreita Souza & Filhos,Mão de obra,Equipe de telhadista,"20630,00","21130,00",Pago
11/05/2026,Condomínio Reserva Verde,Instalações,Hidro Elétrica Norte,Material,Quadro de distribuição,"30110,00","29180,00",Pago
13/05/2026,Residencial Vista Mar,Cobertura,Administração local,Indireto,Administração local do canteiro,"4730,00","4860,00",Pago
14/05/2026,Galpão Logístico Serra,Cobertura,Estruturas Camburi,Subempreiteiro,Empreitada de cobertura,"29300,00","29380,00",Pago
15/05/2026,Condomínio Reserva Verde,Instalações,Administração local,Indireto,Administração local do canteiro,"3400,00","3510,00",Pago
16/05/2026,Edifício Solar de Camburi,Cobertura,Depósito Praia Grande,Material,Manta térmica,"19740,00","24340,00",Pago
16/05/2026,Edifício Solar de Camburi,Cobertura,Administração local,Indireto,Administração local do canteiro,"3850,00","3880,00",Pago
18/05/2026,Condomínio Reserva Verde,Instalações,JR Mão de Obra,Mão de obra,Equipe de eletricistas,"18140,00","16750,00",Pago
19/05/2026,Galpão Logístico Serra,Acabamento,JR Mão de Obra,Mão de obra,Equipe de assentamento de piso,"38120,00","31670,00",Pago
19/05/2026,Condomínio Reserva Verde,Instalações,Elétrica Camburi,Subempreiteiro,Instalação de ar-condicionado,"28940,00","25010,00",Pago
20/05/2026,Edifício Solar de Camburi,Instalações,Hidro Elétrica Norte,Material,"Cabo flexível 2,5mm","19560,00","18880,00",Pago
21/05/2026,Edifício Solar de Camburi,Instalações,Hidro Elétrica Norte,Material,Registro e conexões,"32110,00","35010,00",Pago
23/05/2026,Residencial Vista Mar,Cobertura,Empreita Souza & Filhos,Mão de obra,Equipe de carpintaria de telhado,"26920,00","24400,00",Pago
23/05/2026,Edifício Solar de Camburi,Instalações,JR Mão de Obra,Mão de obra,Equipe de eletricistas,"28670,00","27430,00",Pago
24/05/2026,Galpão Logístico Serra,Cobertura,Administração local,Indireto,Administração local do canteiro,"5870,00","5810,00",Pago
30/05/2026,Condomínio Reserva Verde,Instalações,Vigilância Litoral,Indireto,Vigilância noturna,"3860,00","3810,00",A pagar
31/05/2026,Condomínio Reserva Verde,Instalações,Elétrica Camburi,Subempreiteiro,Empreitada elétrica,"31040,00","28640,00",Pago
02/06/2026,Galpão Logístico Serra,Cobertura,Madeireira Santa Rita,Material,Madeiramento do telhado,"41430,00","41720,00",Pago
03/06/2026,Condomínio Reserva Verde,Cobertura,Cerâmica Colatina,Material,Telha cerâmica,"32200,00","29220,00",Pago
06/06/2026,Galpão Logístico Serra,Acabamento,Tintas Litoral,Material,Tinta acrílica premium,"19180,00","16170,00",Pago
07/06/2026,Residencial Vista Mar,Cobertura,Cerâmica Colatina,Material,Telha cerâmica,"27280,00","21280,00",A pagar
07/06/2026,Residencial Vista Mar,Cobertura,Estruturas Camburi,Subempreiteiro,Empreitada de cobertura,"23850,00","21910,00",Pago
07/06/2026,Edifício Solar de Camburi,Cobertura,Estruturas Camburi,Subempreiteiro,Empreitada de cobertura,"19810,00","23640,00",Pago
07/06/2026,Galpão Logístico Serra,Acabamento,Administração local,Indireto,Administração local do canteiro,"4730,00","4830,00",A pagar
09/06/2026,Galpão Logístico Serra,Cobertura,Depósito Praia Grande,Material,Manta térmica,"11400,00","14160,00",Pago
11/06/2026,Edifício Solar de Camburi,Cobertura,Madeireira Santa Rita,Material,Madeiramento do telhado,"16010,00","17950,00",A pagar
11/06/2026,Edifício Solar de Camburi,Cobertura,Administração local,Indireto,Administração local do canteiro,"4930,00","5110,00",A pagar
11/06/2026,Edifício Solar de Camburi,Cobertura,Cesan,Indireto,Água do canteiro,"4730,00","4790,00",A pagar
12/06/2026,Edifício Solar de Camburi,Cobertura,Estruturas Camburi,Subempreiteiro,Empreitada de cobertura,"39700,00","34620,00",A pagar
13/06/2026,Galpão Logístico Serra,Acabamento,EDP Espírito Santo,Indireto,Energia do canteiro,"5210,00","5030,00",A pagar
14/06/2026,Galpão Logístico Serra,Cobertura,Madeireira Santa Rita,Material,Madeiramento do telhado,"23050,00","23710,00",Pago
18/06/2026,Residencial Vista Mar,Cobertura,Cesan,Indireto,Água do canteiro,"8220,00","7500,00",A pagar
18/06/2026,Edifício Solar de Camburi,Cobertura,Madeireira Santa Rita,Material,Madeiramento do telhado,"32380,00","35900,00",A pagar
19/06/2026,Residencial Vista Mar,Cobertura,Empreita Souza & Filhos,Mão de obra,Equipe de carpintaria de telhado,"34230,00","35190,00",A pagar
19/06/2026,Residencial Vista Mar,Cobertura,Administração local,Indireto,Administração local do canteiro,"7920,00","6750,00",Pago
23/06/2026,Residencial Vista Mar,Cobertura,Cerâmica Colatina,Material,Telha cerâmica,"32770,00","26580,00",A pagar
23/06/2026,Edifício Solar de Camburi,Cobertura,Cerâmica Colatina,Material,Telha cerâmica,"24730,00","22000,00",A pagar
23/06/2026,Condomínio Reserva Verde,Instalações,Administração local,Indireto,Administração local do canteiro,"3770,00","4280,00",Pago
23/06/2026,Condomínio Reserva Verde,Instalações,Vigilância Litoral,Indireto,Vigilância noturna,"5410,00","5800,00",A pagar
26/06/2026,Galpão Logístico Serra,Acabamento,Limpeza Total Serviços,Indireto,Limpeza final de obra,"4300,00","4150,00",Pago
28/06/2026,Galpão Logístico Serra,Acabamento,Vidraçaria Enseada,Subempreiteiro,Instalação de esquadrias,"22940,00","20040,00",Pago
28/06/2026,Galpão Logístico Serra,Acabamento,Vidraçaria Enseada,Material,Esquadria de alumínio,"27820,00","28910,00",Pago
29/06/2026,Condomínio Reserva Verde,Instalações,Hidráulica Norte,Subempreiteiro,Empreitada hidrossanitária,"15890,00","15910,00",A pagar
30/06/2026,Galpão Logístico Serra,Acabamento,Pintura Marataízes,Subempreiteiro,Empreitada de pintura,"39240,00","33920,00",Pago
01/07/2026,Residencial Vista Mar,Acabamento,Vidraçaria Enseada,Material,Esquadria de alumínio,"36100,00","27080,00",Pago
01/07/2026,Condomínio Reserva Verde,Cobertura,Administração local,Indireto,Administração local do canteiro,"3900,00","4370,00",Pago
02/07/2026,Edifício Solar de Camburi,Cobertura,Andaimes Vila Velha,Equipamento,Locação de andaime de telhado,"23290,00","23650,00",A pagar
03/07/2026,Residencial Vista Mar,Acabamento,Gesso e Forro Vitória,Subempreiteiro,Empreitada de gesso e forro,"37920,00","30960,00",Pago
06/07/2026,Residencial Vista Mar,Acabamento,Vidraçaria Enseada,Subempreiteiro,Instalação de esquadrias,"35260,00","24900,00",A pagar
08/07/2026,Residencial Vista Mar,Acabamento,EDP Espírito Santo,Indireto,Energia do canteiro,"2880,00","2850,00",A pagar
11/07/2026,Condomínio Reserva Verde,Instalações,Elétrica Camburi,Subempreiteiro,Instalação de ar-condicionado,"40640,00","35230,00",Pago
13/07/2026,Condomínio Reserva Verde,Acabamento,Pintura Marataízes,Subempreiteiro,Empreitada de pintura,"31130,00","34240,00",Pago
15/07/2026,Residencial Vista Mar,Acabamento,Mármores Jucu,Material,Bancada de granito,"29220,00","20560,00",Pago
17/07/2026,Residencial Vista Mar,Cobertura,Empreita Souza & Filhos,Mão de obra,Equipe de telhadista,"26250,00","19850,00",A pagar
17/07/2026,Edifício Solar de Camburi,Acabamento,Hidro Elétrica Norte,Material,Louças e metais,"30940,00","25430,00",Pago
17/07/2026,Edifício Solar de Camburi,Acabamento,EDP Espírito Santo,Indireto,Energia do canteiro,"2240,00","2480,00",A pagar
19/07/2026,Residencial Vista Mar,Acabamento,Administração local,Indireto,Administração local do canteiro,"5240,00","4610,00",A pagar
19/07/2026,Condomínio Reserva Verde,Acabamento,Equipe própria,Mão de obra,Equipe de acabamento fino,"18260,00","20760,00",Pago
19/07/2026,Condomínio Reserva Verde,Acabamento,JR Mão de Obra,Mão de obra,Equipe de pintura,"32060,00","34390,00",Pago
19/07/2026,Condomínio Reserva Verde,Cobertura,Cesan,Indireto,Água do canteiro,"4310,00","4580,00",Pago
21/07/2026,Residencial Vista Mar,Acabamento,Cerâmica Colatina,Material,Piso porcelanato 80x80,"28970,00","24700,00",A pagar
22/07/2026,Edifício Solar de Camburi,Acabamento,Administração local,Indireto,Administração local do canteiro,"3890,00","3810,00",Pago
23/07/2026,Edifício Solar de Camburi,Acabamento,Limpeza Total Serviços,Indireto,Limpeza final de obra,"2600,00","2740,00",Pago
24/07/2026,Residencial Vista Mar,Cobertura,Impermeabiliza ES,Subempreiteiro,Impermeabilização de laje,"35930,00","28970,00",Pago
26/07/2026,Residencial Vista Mar,Cobertura,Empreita Souza & Filhos,Mão de obra,Equipe de carpintaria de telhado,"22060,00","19620,00",A pagar
26/07/2026,Residencial Vista Mar,Acabamento,Equipe própria,Mão de obra,Equipe de assentamento de piso,"36470,00","24850,00",A pagar
26/07/2026,Edifício Solar de Camburi,Cobertura,Madeireira Santa Rita,Material,Madeiramento do telhado,"32180,00","30430,00",Pago
27/07/2026,Residencial Vista Mar,Acabamento,Gesso e Forro Vitória,Subempreiteiro,Empreitada de gesso e forro,"20320,00","18100,00",A pagar
27/07/2026,Condomínio Reserva Verde,Instalações,Hidro Elétrica Norte,Material,Tubulação PVC esgoto,"24980,00","26260,00",A pagar
28/07/2026,Condomínio Reserva Verde,Instalações,Equipe própria,Mão de obra,Ajudantes de instalação,"20890,00","22240,00",Pago
29/07/2026,Residencial Vista Mar,Acabamento,Limpeza Total Serviços,Indireto,Limpeza final de obra,"3420,00","3270,00",Pago
29/07/2026,Edifício Solar de Camburi,Acabamento,Locadora Serra Máquinas,Equipamento,Locação de plataforma elevatória,"16640,00","17620,00",A pagar
31/07/2026,Condomínio Reserva Verde,Cobertura,Impermeabiliza ES,Subempreiteiro,Impermeabilização de laje,"28310,00","28900,00",Pago
31/07/2026,Condomínio Reserva Verde,Acabamento,Hidro Elétrica Norte,Material,Louças e metais,"22170,00","20440,00",A pagar
03/08/2026,Edifício Solar de Camburi,Acabamento,Vidraçaria Enseada,Material,Esquadria de alumínio,"34270,00","25620,00",A pagar
03/08/2026,Condomínio Reserva Verde,Acabamento,EDP Espírito Santo,Indireto,Energia do canteiro,"2330,00","2640,00",Pago
04/08/2026,Edifício Solar de Camburi,Acabamento,Locadora Serra Máquinas,Equipamento,Locação de plataforma elevatória,"24520,00","23120,00",A pagar
04/08/2026,Condomínio Reserva Verde,Cobertura,Empreita Souza & Filhos,Mão de obra,Equipe de carpintaria de telhado,"25130,00","31430,00",Pago
06/08/2026,Residencial Vista Mar,Acabamento,Administração local,Indireto,Administração local do canteiro,"5000,00","4450,00",A pagar
06/08/2026,Condomínio Reserva Verde,Cobertura,Madeireira Santa Rita,Material,Madeiramento do telhado,"20040,00","23650,00",Pago
08/08/2026,Condomínio Reserva Verde,Acabamento,Limpeza Total Serviços,Indireto,Limpeza final de obra,"3060,00","3040,00",A pagar
09/08/2026,Residencial Vista Mar,Acabamento,Equipe própria,Mão de obra,Equipe de acabamento fino,"34100,00","25960,00",Pago
10/08/2026,Condomínio Reserva Verde,Acabamento,Gesso e Forro Vitória,Subempreiteiro,Empreitada de gesso e forro,"28620,00","24170,00",Pago
